Plot ID,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Crown_cover....,Forest_Types,Scientific_me,Family,Height_cm,Cover.
1,1337,27.001902,90.597047,25,18.21,2462.64,909.38,2280.35,90,40,Cool broadleaved forest (1500-3000),Blastus cochinchinensis,Bixaceae,5,7
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Blastus cochinchinensis,Bixaceae,7,8
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Asystasia macrocarpa,Acanthaceae,6,4
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Asystasia macrocarpa,Acanthaceae,6,4
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Plantago major,Plantagiceae,11,3
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Alocasia flemingia,Araceae,5,5
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Bidens Pilosa,Compositae,19,2
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Arisaema flavum,Araceae,3,30
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Ageratum houstonianum,Compositae,5,15
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Pliea bractosa,Umbelliferae,4,2
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Peliosanthes macrophylla,Convallariaceae,7,4
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Paspalum pasloides,Gramineae,12,4
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Plectranthus spp,Labiatae,11,7
