Plot ID,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Crown_cover....,Forest_Types,Scientific_me,Family,Height_cm,Age_Years,Plot_Cover.
1,1337,27.001902,90.597047,25,18.21,2462.64,909.38,2280.35,90,40,Cool broadleaved forest (1500-3000),Alangium chinense,Alangiaceae,1.8,2,25
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,1.8,2,25
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Ficus hispida,Moraceae,2.5,3,2
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,2,3,2
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,2,3,2
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,2.5,4,70
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,70,2,4
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,3,2,20
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,380,4,40
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,3.2,4,40
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,1.8,3,40
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Aphamaxis polystacya,Meliaceae,1.2,2,20
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Aphamaxis polystacya,Meliaceae,1.2,2,20
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Ficus semicordata,Moraceae,0.8,2,7
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Ficus semicordata,Moraceae,0.8,2,7
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Schefflera spp,Araliaceae,60,2,3
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Schefflera spp,Araliaceae,60,2,3
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,7,1,1
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Dillenia indica,Dilleniaceae,15,1,2
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,21,Cool broadleaved forest (1500-3000),Schefflera spp,Araliaceae,1.3,3,25
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,22,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,60,3,7
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,60,3,7
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,40,2,4
17,1638,27.086141,90.371696,30,16.73,1875.39,889.53,1964.83,225,60,Cool broadleaved forest (1500-3000),Osmanthus suavis,Oleaceae,45,2,3
18,1621,27.085516,90.368604,15,16.82,2148.59,891.53,2307.01,225,40,Cool broadleaved forest (1500-3000),Osmanthus suavis,Oleaceae,45,2,3
18,1696,27.085629,90.378053,15,16.41,2145.84,882.18,2302.69,135,60,Cool broadleaved forest (1500-3000),Osmanthus suavis,Oleaceae,45,2,3
18,1696,27.085629,90.378053,15,16.41,2145.84,882.18,2302.69,135,61,Cool broadleaved forest (1500-3000),Ficus roxburgii,Moraceae,0.9,3,15
22,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,45,30,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,100,2,26
23,1196,27.052481,90.328958,30,19.08,2081.61,937.68,2091.15,0,85,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,4.5,3,60
25,1227,27.050532,90.317169,18,18.91,2321.9,933.39,2371.74,0,5,Warm broad leaved forest (500-1500),Osmanthus suavis,Oleaceae,3.5,5,30
26,1227,27.050532,90.317169,18,18.91,2321.9,933.39,2371.74,0,6,Warm broad leaved forest (500-1500),Mitrephora harai,Annoceae,130,2,15
27,1266,27.039551,90.305893,1,18.67,2743.1,926.2,2793.77,0,90,Warm broad leaved forest (500-1500),Bridelia retusa,Euphorbiaceae,35,1,20
28,1223,27.058107,90.311665,1,18.95,2609.57,935.49,2733.62,90,65,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,45,1,7
29,1318,27.057149,90.302347,17,18.42,2301.2,923.41,2376.61,45,72,Warm broad leaved forest (500-1500),Macropax dispermus,Araliaceae,45,1,7
30,1394,27.066416,90.300928,11,18.03,2357.47,915.87,2482.13,315,85,Warm broad leaved forest (500-1500),Brassaiopsis hainla,Araliaceae,1,2,7
30,1394,27.066416,90.300928,11,18.03,2357.47,915.87,2482.13,315,85,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,90,4,30
31,1084,27.047991,90.379133,18,19.69,2324.53,950.73,2362.74,0,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,1.8,3,30
32,1089,27.048535,90.371103,17,19.66,2342.08,950.22,2386.01,315,60,Warm broad leaved forest (500-1500),Litsea monopetala,Lauraceae,10,1,2
