Plot ID,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Forest_Types,Scientific_me,Family,Crown_cover....,Count,Cover_percentage,Height_m,Status
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Cycas pectita,Cycadaceae,34,7,4,1.2,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Agerati Adenophora,Compositae,35,25,70,0.6,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Strobilanthes cellosa,Acanthaceae,35,2,0,2,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Agerati Adenophora,Compositae,40,25,70,0.6,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Strobilanthes cellosa,Acanthaceae,40,3,2,1.2,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Calamus flagellum,Arecaceae (Palmae),40,45,10,1,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Strobilanthes cellosa,Acanthaceae,40,2,1,2.5,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Gomphostemma parviflorum,Labiatae,40,32,7,0.15,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Calamus flagellum,Arecaceae (Palmae),40,0,20,2,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,Warm broad leaved forest (500-1500),Calamus flagellum,Arecaceae (Palmae),40,36,11,1.5,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Boehmeria cylindrica,Urticaceae,45,20,10,1.5,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Elatostema sessile,Urticaceae,45,30,8,1.3,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Boehmeria himiltonia,Urticaceae,45,50,20,1.4,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Cycas pectita,Cycadaceae,45,20,6,0.8,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Boehmeria cylindrica,Urticaceae,45,30,11,0.8,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Cycas pectita,Cycadaceae,45,2,5,12,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Piptanthus nepalensis,Leguminosae,45,10,10,0.65,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Ficus cyrtophylla,Moraceae,45,20,6,0.55,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,Warm broad leaved forest (500-1500),Cycas pectita,Cycadaceae,45,20,7,0.5,Live
