Plots,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Crown_cover....,Forest_Types,Scientific_me,Family,DBH_cm,Height_m,Stem_Type,Status
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,49.2,19.6,Clean,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,43.5,27.5,Clean,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,33.4,18.3,Twisted,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,42.1,24.1,Clean,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,47.9,23.4,Clean,Live
1,1317,27.07579,90.319535,25,18.47,2033.51,927.47,2131.28,45,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,33.4,23.4,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,32.6,20.6,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,17.6,20,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,33.6,28,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,23.6,12,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,18.6,17.3,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,27.3,23.4,Clean,Live
2,1327,27.079725,90.317987,12,18.42,2250.9,927.05,2412.92,45,45,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,23.7,19.7,Clean,Live
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,45,22,Clean,Live
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Alnus nepalensis,Betulaceae,29.3,18.2,Clean,Live
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,19,15,Clean,Live
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Alnus nepalensis,Betulaceae,28,16,Clean,Live
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,33.5,21,Clean,Live
3,1552,27.085634,90.330809,9,17.2,2269.12,900.18,2454.84,225,60,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,17.5,13,Twisted,Live
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,53,27,Clean,Live
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,55,32,Clean,Live
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,42,32,Clean,Live
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,44,27,Clean,Live
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,35,23.3,Clean,Live
4,1410,27.084467,90.326142,15,17.97,2164.17,917.68,2326.37,225,60,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,38.2,25,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Cinmomum virum,Lauraceae,38.4,16.5,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Alangium chinense,Alangiaceae,44.7,23.4,Twisted,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Dalbergia sericea,Fabaceae,28.1,13.1,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Cinmonum tamala,Lauraceae,32.8,13.9,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Stereospermum suaveolens,Bignoniaceae,28.1,13.1,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Cupresses cashmeria,Cupressaceae,33.5,15.1,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Sterculia villosa,Bignoniaceae,33.5,15.1,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Cretava reliogiosa,Capparaceae,34.1,14.2,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Phoebe attenuata,Lauraceae,44.5,25.2,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Spondias pinta,Malvaceae,34.1,14.2,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Phoebe attenuata,Lauraceae,46.2,25.4,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Senegalia catechu,Acardiaceae,32.8,13.9,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Altingia excelsa,Hamamelidaceae,85.8,34.2,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,10.4,8.1,Clean,Live
