"Package","Version"
"bigD","0.3.1"
"flextable","0.9.10"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"gdtools","0.4.4"
"gt","1.3.0"
"juicyjuice","0.1.0"
"systemfonts","1.3.1"
"V8","8.0.1"
"abind","1.4-8"
"activity","1.3.4"
"ade4","1.7-23"
"adegenet","2.1.11"
"adegraphics","1.0-22"
"adehabitatHR","0.4.22"
"adehabitatLT","0.3.29"
"adehabitatMA","0.3.17"
"adephylo","1.1-17"
"adespatial","0.3-28"
"alphahull","2.5"
"ape","5.8-1"
"aplpack","1.3.5"
"arm","1.14-4"
"arrayhelpers","1.1-0"
"AsioHeaders","1.30.2-1"
"askpass","1.2.1"
"assertthat","0.2.1"
"automap","1.1-20"
"av","0.9.4"
"backports","1.5.0"
"base64enc","0.1-3"
"basemaps","0.0.8"
"bayesplot","1.14.0"
"bayestestR","0.16.1"
"betapart","1.6.1"
"BH","1.87.0-1"
"bibtex","0.5.1"
"BIEN","1.2.7"
"BiodiversityR","2.17-4"
"biomod2","4.2-6-2"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"blockCV","3.2-0"
"brew","1.0-10"
"bridgesampling","1.2-1"
"brio","1.1.5"
"brms","2.23.0"
"Brobdingnag","1.2-9"
"broom","1.0.8"
"broom.mixed","0.2.9.6"
"bslib","0.9.0"
"ca","0.71.1"
"cachem","1.1.0"
"Cairo","1.6-2"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caret","7.0-1"
"caTools","1.18.3"
"cellranger","1.1.0"
"checkmate","2.3.2"
"chromote","0.5.1"
"circular","0.5-2"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"clock","0.7.3"
"coda","0.19-4.1"
"collections","0.3.8"
"colorspace","2.1-1"
"colourpicker","1.3.0"
"cols4all","0.8"
"commonmark","1.9.5"
"conflicted","1.2.0"
"corrplot","0.95"
"covr","3.6.4"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"crosstalk","1.2.1"
"crul","1.5.0"
"curl","6.4.0"
"data.table","1.17.6"
"datawizard","1.2.0"
"DBI","1.2.3"
"dbplyr","2.5.0"
"deldir","2.0-4"
"dendextend","1.19.1"
"DEoptimR","1.1-3-1"
"Deriv","4.2.0"
"desc","1.4.3"
"diagram","1.6.5"
"dichromat","2.0-0.1"
"diffobj","0.3.6"
"digest","0.6.37"
"diptest","0.77-2"
"dismo","1.3-16"
"distributional","0.5.0"
"doBy","4.7.0"
"doParallel","1.0.17"
"doSNOW","1.0.20"
"dotCall64","1.2"
"dplyr","1.1.4"
"DT","0.33"
"dtplyr","1.3.1"
"dunn.test","1.3.6"
"dygraphs","1.1.1.6"
"e1071","1.7-16"
"earth","5.3.4"
"ecodist","2.1.3"
"ecospat","4.1.2"
"effects","4.2-4"
"effectsize","1.0.1"
"ellipse","0.5.0"
"emmeans","1.11.2"
"ENMeval","2.0.5.2"
"estimability","1.5.1"
"evaluate","1.0.4"
"exactextractr","0.10.0"
"extrafont","0.19"
"extrafontdb","1.0"
"factoextra","1.0.7"
"FactoMineR","2.12"
"farver","2.1.2"
"fastcluster","1.3.0"
"fasterize","1.1.0"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fields","16.3.1"
"flashClust","1.01-2"
"flexmix","2.3-20"
"FlexParamCurve","1.5-7"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.0"
"foreach","1.5.2"
"forecast","8.24.0"
"Formula","1.2-5"
"fpc","2.2-13"
"fracdiff","1.5-3"
"fs","1.6.6"
"FSA","0.10.0"
"furrr","0.3.1"
"future","1.58.0"
"future.apply","1.20.0"
"gam","1.22-5"
"gargle","1.5.2"
"gbm","2.2.2"
"gclus","1.3.3"
"gdistance","1.6.4"
"generics","0.1.4"
"geodata","0.6-2"
"geojsonsf","2.0.3"
"geometries","0.2.4"
"geometry","0.5.2"
"geosphere","1.5-20"
"ggalluvial","0.12.5"
"GGally","2.3.0"
"ggdist","3.3.3"
"ggfun","0.2.0"
"ggimage","0.3.3"
"ggiraph","0.9.1"
"ggnewscale","0.5.2"
"ggplot2","4.0.0"
"ggplotify","0.1.2"
"ggpubr","0.6.1"
"ggrepel","0.9.6"
"ggridges","0.5.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggspatial","1.1.10"
"ggstats","0.10.0"
"ggtext","0.1.2"
"ggthemes","5.1.0"
"gifski","1.32.0-2"
"glmnet","4.1-9"
"globals","0.18.0"
"glue","1.8.0"
"goftest","1.2-3"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gower","1.0.2"
"GPArotation","2025.3-1"
"gplots","3.2.0"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridtext","0.1.5"
"gstat","2.1-4"
"gtable","0.3.6"
"gtools","3.9.5"
"hardhat","1.4.1"
"haven","2.5.5"
"here","1.0.1"
"hexbin","1.28.5"
"highr","0.11"
"Hmisc","5.2-3"
"hms","1.1.3"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpcode","0.3.0"
"httpuv","1.6.16"
"httr","1.4.7"
"hunspell","3.0.6"
"ids","1.0.1"
"igraph","2.1.4"
"indicspecies","1.8.0"
"iNEXT","3.0.2"
"inline","0.3.21"
"insight","1.4.0"
"interp","1.1-6"
