plot_id,stratum,richness,abundance,shannon,simpson,inv_simpson,evenness,elevation,latitude,longitude,slope,temperature,precipitation,eto,water_balance,aspect
1,Trees,1,6,0,0,1,NA,1668,27.040259,90.429503,29,16.47,2155.82,876.1,2115.02,6
10,Trees,7,9,1.8891591637540215,0.8395061728395061,6.230769230769231,0.9708357627258161,1101,27.064294,90.439079,2,19.63,2516.62,952.05,2653.82,1
100,Trees,6,11,1.6726254461503207,0.7933884297520661,4.840000000000001,0.933510035736515,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,7
101,Trees,8,8,2.0794415416798357,0.875,8,1,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,2
102,Trees,4,7,1.1537419427010902,0.6122448979591837,2.5789473684210527,0.8322488896002307,747,26.909073,90.558701,24,21.25,3312.28,963.53,2618.03,6
103,Trees,4,7,1.277034259466139,0.6938775510204083,3.266666666666667,0.9211854965885543,451,26.921386,90.542636,10,22.9,3517.25,1003.13,2904.39,5
104,Trees,3,10,1.0296530140645737,0.62,2.6315789473684212,0.9372305632161295,646,26.909146,90.556305,20,21.81,3404.91,976.17,2710.35,8
105,Trees,1,16,0,0,1,NA,574,26.906261,90.553161,5,22.19,3796.56,984.56,3060.49,7
106,Trees,4,8,1.2130075659799042,0.65625,2.909090909090909,0.875,532,26.903881,90.551045,15,22.42,3580.15,989.31,2843.3,2
107,Trees,7,9,1.8891591637540215,0.8395061728395061,6.230769230769231,0.9708357627258161,363,26.895308,90.544089,20,23.33,3555.15,1008.62,2762.05,2
108,Trees,4,7,1.351783994289646,0.7346938775510204,3.7692307692307696,0.9751060324573735,412,26.900101,90.546163,15,23.07,3622.36,1003.51,2858.49,4
109,Trees,6,8,1.6674619334292946,0.78125,4.571428571428571,0.9306282244165778,1129,27.05076,90.36301,14,19.45,2387.44,945.69,2448.67,5
11,Trees,8,13,1.9512595041439562,0.8402366863905325,6.259259259259259,0.9383574700386479,1434,26.948452,90.434213,20,17.57,3053.43,885.97,2612.01,6
110,Trees,6,7,1.7478680974667573,0.8163265306122449,5.444444444444445,0.9755037590061084,1153,26.881392,90.603159,24,18.97,3595.66,906.94,2686.62,3
111,Trees,4,6,1.242453324894,0.6666666666666667,3,0.8962406251802889,1270,26.88151,90.606473,22,18.33,3641.51,892.34,2728.79,6
112,Trees,5,7,1.5498260458782016,0.7755102040816326,4.454545454545455,0.9629610647945144,1116,27.049777,90.341168,3,19.52,2619.48,947.11,2707.3,5
113,Trees,6,6,1.791759469228055,0.8333333333333334,6,1,1149,27.052219,90.345597,25,19.34,2171.84,943.5,2200.52,4
114,Trees,6,7,1.7478680974667573,0.8163265306122449,5.444444444444445,0.9755037590061084,1138,27.053609,90.353978,3,19.4,2589.61,945.17,2690.87,4
115,Trees,4,5,1.3321790402101223,0.72,3.571428571428571,0.9609640474436812,1170,27.055799,90.359268,7,19.23,2492.68,941.63,2591.44,7
116,Trees,5,6,1.5607104090414063,0.7777777777777778,4.5,0.9697238998682473,1086,27.052492,90.367512,23,19.69,2202.63,951.43,2238.98,8
117,Trees,5,6,1.5607104090414063,0.7777777777777778,4.5,0.9697238998682473,1137,27.048838,90.349776,15,19.4,2383.87,944.28,2436.14,5
118,Trees,5,10,1.4184836619456564,0.72,3.571428571428571,0.881353453268883,1083,26.882779,90.599534,15,19.36,3799.94,915.98,2887.71,3
119,Trees,6,7,1.7478680974667573,0.8163265306122449,5.444444444444445,0.9755037590061084,1084,27.047991,90.379133,18,19.69,2324.53,950.73,2362.74,3
12,Trees,3,5,0.9502705392332347,0.56,2.272727272727273,0.8649735207179272,1470,26.947789,90.44284,15,17.37,3168.85,881.33,2723.95,3
120,Trees,7,7,1.9459101490553132,0.8571428571428572,7,1,1089,27.048535,90.371103,17,19.66,2342.08,950.22,2386.01,6
121,Trees,6,7,1.7478680974667573,0.8163265306122449,5.444444444444445,0.9755037590061084,475,26.884809,90.581893,17,22.69,3732.93,992.41,2850,3
122,Trees,4,4,1.3862943611198906,0.75,4,1,1133,27.046918,90.357621,4,19.42,2615.16,944.38,2688.49,6
123,Trees,6,9,1.6769877743224173,0.7901234567901234,4.764705882352941,0.935944697445866,654,26.882458,90.589523,15,21.71,3806.55,969.54,2897.82,6
124,Trees,7,7,1.9459101490553132,0.8571428571428572,7,1,799,26.883035,90.593477,17,20.91,3749.64,951.53,2847.54,6
125,Trees,6,6,1.791759469228055,0.8333333333333334,6,1,890,26.882591,90.596188,12,20.41,3877.44,940.06,2959.84,6
126,Trees,4,7,1.1537419427010902,0.6122448979591837,2.5789473684210527,0.8322488896002307,543,26.884134,90.587,15,22.32,3788.15,983.77,2894.82,6
127,Trees,5,7,1.5498260458782016,0.7755102040816326,4.454545454545455,0.9629610647945144,1394,27.066416,90.300928,11,18.03,2357.47,915.87,2482.13,6
128,Trees,7,9,1.8891591637540215,0.8395061728395061,6.230769230769231,0.9708357627258161,1160,27.060063,90.325592,2,19.3,2572.42,943.78,2701.4,4
129,Trees,4,6,1.3296613488547582,0.7222222222222222,3.5999999999999996,0.9591479170272448,890,26.857785,90.59288,21,20.36,3946.62,934.83,2836.29,7
13,Trees,6,13,1.2852930241200993,0.5917159763313609,2.4492753623188404,0.7173356949936159,1458,27.032986,90.423497,16,17.61,2456.04,900.81,2436.72,8
130,Trees,8,15,1.8943120247335319,0.8177777777777777,5.48780487804878,0.9109715213264661,1045,26.859914,90.596602,20,19.52,3944.91,915.9,2848.81,1
131,Trees,9,12,2.1383330595080277,0.875,8,0.973197315178593,1117,27.05395,90.322111,1,19.52,2635.88,947.86,2745.1,1
132,Trees,9,13,2.031759218569271,0.8402366863905325,6.259259259259259,0.9246934699012204,1227,27.050532,90.317169,18,18.91,2321.9,933.39,2371.74,3
133,Trees,11,15,2.3034884952192693,0.8888888888888888,9,0.9606293157795305,1280,27.044571,90.313469,25,18.61,2228.43,925.51,2232.88,3
134,Trees,11,14,2.341994252232425,0.8979591836734694,9.8,0.9766874637103277,1266,27.039551,90.305893,1,18.67,2743.1,926.2,2793.77,3
135,Trees,12,19,2.3607360902738552,0.8919667590027701,9.256410256410257,0.9500300908588503,1223,27.058107,90.311665,1,18.95,2609.57,935.49,2733.62,1
136,Trees,4,10,0.9404479886553263,0.4800000000000001,1.9230769230769234,0.6783898247235197,1318,27.057149,90.302347,17,18.42,2301.2,923.41,2376.61,5
137,Trees,2,7,0.5982695885852573,0.40816326530612246,1.6896551724137931,0.8631205685666311,821,26.85552,90.594784,25,20.74,3873.34,942.98,2753.47,5
138,Trees,5,11,1.4681399390162087,0.743801652892562,3.9032258064516134,0.9122066329329885,922,26.856713,90.592185,30,20.19,3736.53,930.6,2636.07,8
139,Trees,4,9,1.1490596969706202,0.6172839506172839,2.6129032258064515,0.8288713632524444,1203,27.04862,90.334395,25,19.04,2197.41,935.99,2214.65,5
14,Trees,3,7,0.9556998911125343,0.5714285714285714,2.3333333333333335,0.8699155297736259,1520,27.030838,90.423961,36,17.26,2089.44,892.61,1990.54,2
140,Trees,5,7,1.5498260458782016,0.7755102040816326,4.454545454545455,0.9629610647945144,329,26.83746,90.608453,15,23.4,4352.4,1000.66,3039.54,4
141,Trees,3,7,0.9556998911125343,0.5714285714285714,2.3333333333333335,0.8699155297736259,479,26.845475,90.608699,34,22.59,3767.66,983.6,2582.5,2
142,Trees,4,7,1.277034259466139,0.6938775510204083,3.266666666666667,0.9211854965885543,372,26.840526,90.609688,16,23.17,4285.82,995.94,3006.22,7
143,Trees,5,8,1.4941751382893083,0.75,4,0.9283832117695864,520,26.849019,90.606233,36,22.37,3677.25,979.23,2526.22,1
144,Trees,3,7,0.796311640173813,0.44897959183673464,1.8148148148148147,0.7248340915057598,611,26.851145,90.603119,20,21.88,4050.12,968.3,2880.75,1
145,Trees,1,2,0,0,1,NA,655,26.852205,90.599982,28,21.64,3837.18,963.03,2696.93,3
146,Trees,6,7,1.7478680974667573,0.8163265306122449,5.444444444444445,0.9755037590061084,718,26.854184,90.596642,20,21.3,4014.62,955.57,2871.59,1
147,Trees,1,7,0,0,1,NA,262,26.842026,90.193523,5,23.77,4693.42,1010,3379.77,7
148,Trees,5,11,1.4142790651247086,0.7107438016528926,3.4571428571428573,0.8787409903782898,1196,27.052481,90.328958,30,19.08,2081.61,937.68,2091.15,3
149,Trees,9,25,1.8332976663616356,0.7807999999999999,4.562043795620437,0.8343697250029004,338,26.834807,90.609049,22,23.34,4203.6,998.98,2889.46,7
15,Trees,6,9,1.6769877743224173,0.7901234567901234,4.764705882352941,0.935944697445866,1406,27.034398,90.420663,43,17.89,1941.72,907.61,1823.63,8
150,Trees,8,10,2.0253262207700677,0.86,7.142857142857142,0.9739760316291209,316,26.929423,90.507003,15,23.66,3328.74,1021.7,2778.71,1
151,Trees,9,10,2.1639556568820564,0.88,8.333333333333332,0.9848586617875463,486,26.8831,90.194407,34,22.63,3454.87,990.67,2590.43,5
152,Trees,6,8,1.6674619334292946,0.78125,4.571428571428571,0.9306282244165778,456,26.882367,90.200879,8,22.79,4099.93,994.27,3178.78,8
153,Trees,10,12,2.2538575896013517,0.8888888888888888,9,0.978837914159631,436,26.876267,90.206768,30,22.89,3622.28,995.48,2699.43,8
154,Trees,6,11,1.4205719259467042,0.6611570247933884,2.951219512195122,0.7928362876512272,389,26.953151,90.508695,22,23.3,2947.49,1017.59,2543.56,8
155,Trees,4,10,1.1682824501765625,0.64,2.7777777777777777,0.8427376486136672,540,26.946169,90.518964,30,22.46,2835.2,997.24,2379.67,8
156,Trees,4,6,1.242453324894,0.6666666666666667,3,0.8962406251802889,357,26.939943,90.521033,27,23.45,2955.55,1018.8,2469.18,2
157,Trees,3,5,0.9502705392332347,0.56,2.272727272727273,0.8649735207179272,390,26.940362,90.511669,22,23.27,3063.83,1014.76,2583.28,5
158,Trees,3,7,0.9556998911125343,0.5714285714285714,2.3333333333333335,0.8699155297736259,510,26.885289,90.185671,1,22.5,4250.56,988.13,3331.62,7
159,Trees,4,6,1.3296613488547582,0.7222222222222222,3.5999999999999996,0.9591479170272448,790,26.948374,90.540515,32,21.1,2767.95,966.45,2317.33,1
16,Trees,8,11,1.9722469794234416,0.8429752066115703,6.36842105263158,0.948450312207479,1392,27.037402,90.420951,32,17.98,2120.78,910,2062.8,6
160,Trees,4,7,1.277034259466139,0.6938775510204083,3.266666666666667,0.9211854965885543,760,26.944756,90.533992,45,21.25,2533.02,969.44,2037.46,6
161,Trees,5,6,1.5607104090414063,0.7777777777777778,4.5,0.9697238998682473,663,26.953411,90.531838,38,21.8,2602.46,983.39,2170.17,5
162,Trees,2,5,0.6730116670092565,0.48,1.923076923076923,0.9709505944546688,585,26.95511,90.525788,30,22.23,2755.06,993.5,2348.53,2
163,Trees,5,15,1.2634794940650305,0.6577777777777778,2.9220779220779223,0.7850439487623072,560,26.949635,90.520314,55,22.36,2299.63,995.47,1802.96,8
164,Trees,3,4,1.0397207708399179,0.625,2.6666666666666665,0.946394630357186,354,26.870022,90.209988,30,23.33,3692.44,1004.41,2719.44,7
165,Trees,4,33,0.40450994177361177,0.1707988980716254,1.2059800664451827,0.29179224349353655,343,26.869789,90.216851,11,23.39,4169.43,1005.74,3147.62,4
166,Trees,9,23,1.5979265097580382,0.6843100189035918,3.167664670658683,0.7272476952243391,341,26.843629,90.182723,30,23.34,4016.57,1000.47,2811.89,1
167,Trees,5,7,1.5498260458782016,0.7755102040816326,4.454545454545455,0.9629610647945144,338,26.846465,90.181236,35,23.37,3856.6,1001.44,2690.38,6
168,Trees,8,19,1.7816188084536426,0.7922437673130194,4.8133333333333335,0.8567775399035248,1353,27.001734,90.562104,10,18.12,2779.49,907.34,2630.42,8
169,Trees,6,14,1.5367224694372192,0.7346938775510204,3.7692307692307696,0.8576611402529863,926,27.011474,90.528688,18,20.48,2547.31,962.77,2434.94,7
17,Trees,11,13,2.3516733019046305,0.8994082840236686,9.941176470588234,0.9807239409418417,1493,26.945033,90.448376,25,17.24,2971.3,877.87,2504.68,4
170,Trees,5,18,1.5089177597971124,0.7592592592592593,4.153846153846153,0.9375433175393749,682,26.868244,90.186087,10,21.53,4223.79,963.04,3179.86,7
171,Trees,10,14,2.2055983590263937,0.8775510204081632,8.166666666666668,0.95787919662003,648,26.866997,90.193911,20,21.71,3980.4,967.02,2955.89,4
172,Trees,7,7,1.9459101490553132,0.8571428571428572,7,1,581,26.862943,90.198932,35,22.07,3655.99,974.54,2629.16,4
173,Trees,5,7,1.5498260458782016,0.7755102040816326,4.454545454545455,0.9629610647945144,734,27.014614,90.532258,32,21.54,2249.62,987.44,2110.15,6
174,Trees,6,7,1.7478680974667573,0.8163265306122449,5.444444444444445,0.9755037590061084,1083,27.005524,90.528304,15,19.61,2653.88,941.89,2519.57,1
175,Trees,5,6,1.5607104090414063,0.7777777777777778,4.5,0.9697238998682473,267,26.845273,90.189045,15,23.75,4382.42,1010.06,3144.76,8
176,Trees,5,7,1.5498260458782016,0.7755102040816326,4.454545454545455,0.9629610647945144,260,26.846215,90.184637,1,23.79,4749.68,1011.14,3459.62,5
177,Trees,6,8,1.6674619334292946,0.78125,4.571428571428571,0.9306282244165778,1297,27.00145,90.55615,17,18.43,2637.49,914.28,2475.74,2
178,Trees,3,4,1.0397207708399179,0.625,2.6666666666666665,0.946394630357186,726,27.018304,90.540456,20,21.59,2454.16,989.21,2367.21,6
179,Trees,4,5,1.3321790402101223,0.72,3.571428571428571,0.9609640474436812,645,26.870013,90.190148,15,21.73,4072.17,968.03,3060.5,8
18,Trees,4,6,1.242453324894,0.6666666666666667,3,0.8962406251802889,1471,26.944426,90.45351,22,17.36,3041.34,880.49,2573.14,8
180,Trees,1,58,0,0,1,NA,1327,27.014709,90.510344,31,18.29,2272.93,913.33,2130.89,8
181,Trees,9,24,2.0228085294147036,0.8333333333333334,6,0.920619835714305,1314,27.008339,90.514026,35,18.35,2240.99,913.61,2059.78,8
182,Trees,3,7,1.0042424730540764,0.6122448979591837,2.5789473684210527,0.914100892018565,1367,27.002217,90.518822,20,18.04,2579.36,905.69,2416.02,2
183,Trees,1,1,0,0,1,NA,1284,27.003753,90.524924,10,18.5,2772.76,916.39,2636.42,5
184,Trees,3,5,0.9502705392332347,0.56,2.272727272727273,0.8649735207179272,1168,27.00755,90.520556,33,19.14,2283.17,931.69,2107.52,5
185,Trees,7,14,1.7298201303799212,0.7857142857142857,4.666666666666667,0.8889516976000675,916,27.013436,90.57428,35,20.54,2191.84,964.44,2030.6,3
186,Trees,6,11,1.5941666991180168,0.7603305785123967,4.172413793103448,0.88972137527189,971,27.015343,90.570674,32,20.24,2235.87,957.96,2092.68,6
187,Trees,6,11,1.6417347121875212,0.7768595041322314,4.481481481481481,0.9162695888499091,942,27.010322,90.577664,45,20.39,2028.59,960.53,1813.09,3
