stratum,sites,richness,sd
trees,1,5.24,2.22074698507443
trees,2,10.32,3.656680616530945
trees,3,15.07,4.759371404042362
trees,4,19.38,4.970173665238094
trees,5,23.13,5.306095218203916
trees,6,26.37,5.500514209204133
trees,7,30,5.777000724747866
trees,8,33.56,6.489027257414993
trees,9,36.54,6.723124574214287
trees,10,39.8,6.851970150948919
trees,11,42.83,6.80174517118492
trees,12,45.64,7.051785360295417
trees,13,48.72,7.101116714000593
trees,14,51.82,7.220033856491872
trees,15,54.48,7.630984156183211
trees,16,57.14,7.757720169110396
trees,17,59.75,7.32006375199925
trees,18,61.96,7.219390276165707
trees,19,64.56,7.851294688319136
trees,20,67.14,7.9937096481792445
trees,21,69.4,8.15506287560375
trees,22,71.69,8.425184708582796
trees,23,74.02,8.609344230590857
trees,24,76.57,8.566147844211475
trees,25,78.57,8.381382687693945
trees,26,80.49,8.16186624529345
trees,27,81.96,8.094043201857485
trees,28,84.06,7.733986388308778
trees,29,85.88,7.769767881300762
trees,30,87.74,7.80781788991138
trees,31,89.51,7.73617372079918
trees,32,91.45,7.679666185927141
trees,33,93.15,7.553679951393281
trees,34,94.86,7.688401339128646
trees,35,96.58,7.770937829340468
trees,36,98.22,7.84519411532122
trees,37,100.01,7.807656175158774
trees,38,101.86,7.9835942894023475
trees,39,103.53,7.820531124591671
trees,40,105.12,8.010447723271948
trees,41,106.45,7.912877881253847
trees,42,107.95,7.945998294040145
trees,43,109.06,8.026244829346165
trees,44,110.61,8.1102192674216
trees,45,111.99,8.013240306019794
trees,46,113.62,8.062608545976703
trees,47,115.01,7.998099521736146
trees,48,116.36,7.902844392682264
trees,49,117.78,7.897806881366088
trees,50,119.03,8.009407347651015
trees,51,120.56,7.768519742518454
trees,52,121.92,7.691895249238157
trees,53,123.27,7.531556508076099
trees,54,124.38,7.50458445743586
trees,55,125.72,7.3677978015445325
trees,56,126.79,7.418642910011414
trees,57,128.01,7.608468169006681
trees,58,129.59,7.664815323241255
trees,59,130.91,7.431974328820197
trees,60,132.05,7.2854843921514805
trees,61,133.08,7.121854258604853
trees,62,134.33,7.1450413687827
trees,63,135.37,7.1133037970475375
trees,64,136.35,6.846624177378413
trees,65,137.35,6.685390373377193
trees,66,138.38,6.620720458827679
trees,67,139.27,6.762724631717933
trees,68,140.23,6.6330287732732405
trees,69,141.15,6.6535856513764084
trees,70,142.24,6.581455428365032
trees,71,143.16,6.43651201107299
trees,72,144.05,6.457905655438569
trees,73,145.08,6.3352150314689
trees,74,146,6.414944672521747
trees,75,146.91,6.418242624257701
trees,76,147.89,6.450894542932818
trees,77,148.64,6.560549373399158
trees,78,149.42,6.618278942566274
trees,79,150.27,6.8502820114476775
trees,80,151.23,6.90462442018669
trees,81,151.99,6.994218391578212
trees,82,152.91,6.891797202970259
trees,83,153.56,6.839162332781801
trees,84,154.56,6.796196202897826
trees,85,155.33,6.828423957061669
trees,86,156.08,6.801188250310501
trees,87,156.9,6.709709533221392
trees,88,157.61,6.734345858464216
trees,89,158.45,6.72455923980873
trees,90,159.19,6.6266907505202255
trees,91,159.98,6.5643358423000455
trees,92,160.48,6.565105182752677
trees,93,161.21,6.73794471555674
trees,94,161.94,6.717713656273001
trees,95,162.77,6.729784543356496
trees,96,163.26,6.7847422406991464
trees,97,163.88,6.722914231014387
