citation_raw,citation_author,citation_year,location
Lomolino 2001,Lomolino,2001,p10
Rahbek 2005,Rahbek,2005,p10
Grytnes 2003,Grytnes,2003,p10
McCain 2009,McCain,2009,p10
Gilliam 2007,Gilliam,2007,p10
Sundqvist et al. 2013,Sundqvist,2013,p10
Qian et al. 2005,Qian,2005,p10
Siefert et al. 2013,Siefert,2013,p10
Kraft et al. 2015,Kraft,2015,p10
Gilliam 2007,Gilliam,2007,p10
Lenoir et al. 2008,Lenoir,2008,p10
Clark et al. 2014,Clark,2014,p10
Myers et al. 2000,Myers,2000,p11
Grytnes & Vetaas 2002,Grytnes,2002,p11
Myers et al. 2000,Myers,2000,p11
Grytnes & Vetaas 2002,Grytnes,2002,p11
Sundqvist et al. 2013,Sundqvist,2013,p11
Clark et al. 2014,Clark,2014,p11
Grytnes & Vetaas 2002,Grytnes,2002,p15
Körner 2007,Körner,2007,p15
Bookhagen & Burbank 2010,Bookhagen,2010,p16
Grytnes & Vetaas 2002,Grytnes,2002,p16
accessed 6 February 2026,accessed 6 February,2026,p23
Abrams et al. (2020),Abrams,2020,p26
"Grytnes & Vetaas, 2002",Grytnes,2002,p26
"Körner, 2007","Körner,",2007,p26
Dorji et al. (2025),Dorji,2025,p27
Shannon 1948,Shannon,1948,p29
Simpson 1949,Simpson,1949,p29
Pielou 1966,Pielou,1966,p29
Bray and Curtis 1957,Bray and Curtis,1957,p31
Kruskal 1964,Kruskal,1964,p31
ter Braak 1986,ter Braak,1986,p31
Anderson 2001,Anderson,2001,p32
Dufrêne and Legendre 1997,Dufrêne and Legendre,1997,p34
Chen & Guestrin 2016,Chen,2016,p36
ter Braak 1986,ter Braak,1986,p39
Anderson 2001,Anderson,2001,p39
Dufrêne and Legendre 1997,Dufrêne and Legendre,1997,p39
Wangda & Ohsawa 2006a,Wangda,2006a,p47
Wangda & Ohsawa 2006a,Wangda,2006a,p51
Grierson & Long 1983–2001,Grierson,1983,p51
Wangda & Ohsawa 2006a,Wangda,2006a,p55
"Wangda & Ohsawa 2006a, 2006c",Wangda,2006a,p58
Wangda & Ohsawa 2006,Wangda,2006,p59
Grytnes & Vetaas 2002,Grytnes,2002,p59
Wangda & Ohsawa 2006c,Wangda,2006c,p67
"Elith, Leathwick & Hastie 2008","Elith, Leathwick",2008,p68
Ohsawa (2006),Ohsawa,2006,p71
Wangda & Ohsawa 2006a,Wangda,2006a,p71
Grytnes & Vetaas 2002,Grytnes,2002,p71
Acharya et al. 2011,Acharya,2011,p71
Carpenter 2005,Carpenter,2005,p71
Wangda & Ohsawa 2006,Wangda,2006,p71
Ohsawa 1995,Ohsawa,1995,p71
Grytnes & Vetaas 2002,Grytnes,2002,p71
Grytnes & Vetaas 2002,Grytnes,2002,p73
Wangda & Ohsawa 2006,Wangda,2006,p73
Grytnes & Vetaas 2002,Grytnes,2002,p73
Grytnes & Vetaas 2002,Grytnes,2002,p75
Grytnes & Vetaas 2002,Grytnes,2002,p75
Ohsawa 1995,Ohsawa,1995,p77
Ohsawa (2006),Ohsawa,2006,p79
