claim_id,location,sentence,status,notes
CLM_0001,p10,"Because temperature, moisture availability, and growing-season length vary predictably with altitude, mountain systems have long served as test beds for ecological theory addressing species richness, environmental filtering, and community turnover (Lomolino 2001; Rahbek 2005).",needs_manual_review,
CLM_0002,p10,"Across regions, richness–elevation relationships are frequently unimodal but vary with spatial extent, taxonomic scope, and climatic context, indicating that no single mechanism universally governs elevational diversity patterns (Grytnes 2003; McCain 2009).",needs_manual_review,
CLM_0003,p15,Such steep altitudinal transitions typify Himalayan landscapes and generate strong climatic and edaphic gradients over short distances (Grytnes & Vetaas 2002; Körner 2007).,needs_manual_review,
CLM_0004,p16,"Annual precipitation is high and strongly seasonal, reflecting monsoon circulation intensified by orographic uplift, a defining feature of the eastern Himalayan foothills (Bookhagen & Burbank 2010).",needs_manual_review,
CLM_0005,p16,"Rugged terrain and variable slope exposure create pronounced microclimatic heterogeneity, which is expected to contribute to high beta diversity and fine-scale community turnover along the gradient (Grytnes & Vetaas 2002).",needs_manual_review,
CLM_0006,p23,"Species identifications were verified using regional floras and herbarium reference material, and taxonomic nomenclature was cross-checked against the World Flora Online database (accessed 6 February 2026).",needs_manual_review,
CLM_0007,p26,(2020)).,needs_manual_review,
CLM_0008,p26,"Terrain–climate coupling in montane systems is widely recognized as a dominant driver of vegetation turnover along elevational gradients (Grytnes & Vetaas, 2002; Körner, 2007).",needs_manual_review,
CLM_0009,p27,"(2025), developed by CSIRO and distributed with a permanent digital object identifier (https://doi.org/10.25919/pec2-hs50).",needs_manual_review,
CLM_0010,p29,"Alpha diversity was quantified using the Shannon–Wiener index (H′), Simpson’s diversity index (1 – D) and Pielou’s evenness (J) for each forest type and vegetation layer (Shannon 1948; Simpson 1949; Pielou 1966).",needs_manual_review,
CLM_0011,p31,Floristic variation among plots was examined using non-metric multidimensional scaling (NMDS) based on Bray–Curtis dissimilarities (Bray and Curtis 1957; Kruskal 1964).,needs_manual_review,
CLM_0012,p31,"Species–environment relationships were assessed using canonical correspondence analysis (CCA), which constrains ordination axes by linear combinations of climatic and topographic predictors (ter Braak 1986).",needs_manual_review,
CLM_0013,p32,Community differences among forest types were tested using permutational multivariate analysis of variance (PERMANOVA; Anderson 2001).,needs_manual_review,
CLM_0014,p34,"Indicator species analysis was applied to identify taxa significantly associated with forest types using the indicator value method, with significance assessed at α = 0.05 and 999 permutations (Dufrêne and Legendre 1997).",needs_manual_review,
CLM_0015,p36,"Environmental drivers of regeneration richness were modelled using random forest and extreme gradient boosting algorithms, both of which are widely applied for non-linear ecological prediction problems (Breiman 2001; (Chen & Guestrin 2016).",needs_manual_review,
CLM_0016,p39,"Community-ecology workflows, including ordination, dissimilarity-based testing and indicator-species analysis, were implemented primarily using functions described in the ecological literature underlying widely adopted multivariate methods (ter Braak 1986; Anderson 2001; Dufrêne and Legendre 1997).",needs_manual_review,
CLM_0017,p45,"Stress values were uniformly low (trees = 0.0001; shrubs = 0.070; herbs = 0.001; regeneration = 0.0006), indicating excellent two-dimensional representation of Bray–Curtis dissimilarities (Appendix S3).",needs_manual_review,
CLM_0018,p47,"These stratified responses mirror patterns previously documented along elevational gradients in Bhutanese forests, where understorey layers show stronger compositional turnover than canopy trees (Wangda & Ohsawa 2006a).",needs_manual_review,
