"asset_id","source_path","checksum_sha256","used_in_section"
"sessionInfo.txt","D:\2025-2026\Vegetation_Ecology\03_analysis\00_admin\sessionInfo.txt","06EFDF08DE3D7416B4D896E6EC6E68891819393D6838E5CE394E0219E147A63B","Methods"
"packages.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\00_admin\packages.csv","9A3E1691D64FBCDFF1CBE3CEDFDD61E4ED4A42F6201BD16254F440D1F9F8B469","Methods"
"env_clean.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\02_checkpoints\env_clean.rds","973F582293E8808D7E8207C86EA06EFC2AF5B9C1931CCA0A6C4FA44F4E44681A","Methods / Data Preparation"
"*_long_clean.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\02_checkpoints\herbs_long_clean.rds","F5D4B7EFF6405B9EE53E7C80E4CD694921141085EF27527D324309400A373258","Methods / Data Preparation"
"Table01_data_qc_summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\Table01_data_qc_summary.csv","210B755F5BDD78F02B71B11688939D8C51A54D1A1A69819985611C3E13E8E9C0","Methods / Data Preparation"
"*_mat.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\data_processed\herbs_mat.rds","1614E74C312BA72BD4CD594F4869072C02362CC61738F4AD4AF6F7B74ABC2D69","Methods / Data Preparation"
"community_matrices.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\02_checkpoints\community_matrices.rds","C08163E32D8363BA93908693740EDE4B3DD7A718EF1AAC65B6BB02AA57BECDF1","Methods / Data Preparation"
"matrix_summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\matrix_summary.csv","1B1F6A1EEB8CEA3EF305F7E71A578FF01A77BBD5D7846EBB7574106090B697A7","Methods / Data Preparation"
"nmds_results.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\ordinations\nmds_results.rds","056CC1A3850F1D2EA4EF696809D7F350A0DF0FFCBAB52C3D6A2E7AB64A3392EF","Results / Community Ordination"
"envfit_results.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\ordinations\envfit_results.rds","87AAA613851972B99B3058CFE48C336F97A19E84A54F6E9462725B6CBD4B89EE","Results / Community Ordination"
"nmds_summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\nmds_summary.csv","AFC594ED34D9E5DBDEDFC153D7358BB49044B2DA5367C360C57E9A7A0CE06A07","Results / Community Ordination"
"permanova_results.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\tests\permanova_results.rds","FFD8D5176837E1B457CE1F128ECFDD3EAC10FD545DD5AF957D9F8044482D0AFB","Results / Community Differences"
"dispersion_results.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\tests\dispersion_results.rds","AC37D2D73DA7F107BA8CD6E3CEB133C2439BCC3863DFD6131AA458DA294AD129","Results / Community Differences"
"permanova_summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\permanova_summary.csv","1FF4CB97CF91D6F12D392D2385B489AE9A10B9922CBB8C97CCCAEFAB072114D3","Results / Community Differences"
"cca_results.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\02_checkpoints\cca_results.rds","9DD83B565BC5A6638EB48D23648412CA9F38ECBED2E3D57C57D67A691D0ADEA6","Results / Species-Environment"
"cca_scores.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\ordinations\cca_scores.rds","C6F9F4FB0DC9F5295E5B4016C63E00FDA63DA48F7C12A404F8EEA936FB199EC9","Results / Species-Environment"
"cca_summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\cca_summary.csv","3EF8F7C560D7E29C6E94AB0B84DECB879D232ECBCAF2973B7852DBFC336F4C3B","Results / Species-Environment"
"vif_*.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\vif_herbs.csv","9DCD360C59B1915F084DE14D84CD98BDAD730B9B9481837934F20CBE985D662B","Results / Species-Environment"
"indval_results.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\indicators\indval_results.rds","1490C84D68B74F64A7E764A7E383FDCA7E38D5D9EC2F0F9D73043D1B67BD656F","Results / Indicator Species"
"indicators_*.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\indicators\indicators_herbs.csv","46F3CCF017473AC17C23D1794C0FC85B9CB648407A9AFD31B4978B4DF6076990","Results / Indicator Species"
"indicator_species_summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\indicator_species_summary.csv","E598AD58686781C1C0F88CE621EF5F698DD2664A2924A5F493F3ABEFDFE4676E","Results / Indicator Species"
"diversity_*.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\diversity_by_plot.csv","F3DC087245F75CDDAA92A7AD2386B87F5500C004B2697ED29697C390AEA66673","Results / Diversity"
"regeneration_metrics.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\regeneration_metrics.csv","8F3EF113799EAD0D7B3728CDB95BAD57A1EBC9D7682AF1B83D3268394CC7F67D","Results / Diversity"
"species_accumulation.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\species_accumulation.csv","00B5E86008B8A97E5A1654E834222E8D5B1F69E623327601A0839EE1486675E7","Results / Diversity"
